Log-Kategorie,Ordner,Dateiname,Datum,Zeit,Severity,Type/Source,Description
pixera_logs,,rx_log-2.txt,Thu 09.Oct. ,17:16:40.850,error,decoding 'D:/RX-Cache-Preview/RX-Cache-Preview/D%3A\GH_Integration_Delivery\MURA_STILLS\MURA_DP5_STILL.jpg' failed,
pixera_logs,,rx_log-2.txt,Thu 09.Oct. ,17:16:40.850,error,decoding 'D:/RX-Cache-Preview/RX-Cache-Preview/D%3A\GH_Integration_Delivery\MURA_STILLS\MURA_DP3_STILL.jpg' failed,
pixera_logs,,rx_log-2.txt,Thu 09.Oct. ,17:17:04.369,error,decoding 'D:/RX-Cache-Preview/RX-Cache-Preview/D%3A\GH_Integration_Delivery\MURA_STILLS\MURA_DP2_STILL.jpg' failed,
pixera_logs,,rx_log-2.txt,Thu 09.Oct. ,20:03:40.618,error,loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP3_TERA_IN_5476x1416_202506101734.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP3_TERA_IN_5476x1416_202506101734.mov' failed,
pixera_logs,,rx_log-2.txt,Thu 09.Oct. ,20:03:40.618,error,loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP2_TERA_IN_5760x1416_202506101734.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP2_TERA_IN_5760x1416_202506101734.mov' failed,
pixera_logs,,rx_log-2.txt,Thu 09.Oct. ,20:03:40.619,error,loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP1_TERA_IN_5760x1416_202506101734.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP1_TERA_IN_5760x1416_202506101734.mov' failed,
pixera_logs,,rx_log-2.txt,Thu 09.Oct. ,20:03:40.619,error,loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP4_TERA_IN_5760x1416_202506101734.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP4_TERA_IN_5760x1416_202506101734.mov' failed,
pixera_logs,,rx_log-2.txt,Thu 09.Oct. ,20:03:40.619,error,loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP5_TERA_IN_5760x1416_202506101734.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP5_TERA_IN_5760x1416_202506101734.mov' failed,
pixera_logs,,rx_log-2.txt,Thu 09.Oct. ,20:03:53.635,error,loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP2_TERA_LOOP_5760x1416_202506101734.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP2_TERA_LOOP_5760x1416_202506101734.mov' failed,
pixera_logs,,rx_log-2.txt,Thu 09.Oct. ,20:03:53.635,error,loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP1_TERA_LOOP_5760x1416_202506101734.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP1_TERA_LOOP_5760x1416_202506101734.mov' failed,
pixera_logs,,rx_log-2.txt,Thu 09.Oct. ,20:03:53.636,error,loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP3_TERA_LOOP_5476x1416_202506101734.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP3_TERA_LOOP_5476x1416_202506101734.mov' failed,
pixera_logs,,rx_log-2.txt,Thu 09.Oct. ,20:03:53.636,error,loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP4_TERA_LOOP_5760x1416_202506101734.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP4_TERA_LOOP_5760x1416_202506101734.mov' failed,
pixera_logs,,rx_log-2.txt,Thu 09.Oct. ,20:03:53.636,error,loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP6_TERA_LOOP_5476x1416_202506101734.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP6_TERA_LOOP_5476x1416_202506101734.mov' failed,
pixera_logs,,rx_log-2.txt,Thu 09.Oct. ,20:04:16.129,error,3583x similar to 'loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP6_TERA_IN_5476x1416_202506101734.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP6_TERA_IN_5476x1416_202506101734.mov' failed',
pixera_logs,,rx_log-2.txt,Thu 09.Oct. ,20:04:16.129,error,3547x similar to 'loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP5_TERA_LOOP_5760x1416_202506101734.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP5_TERA_LOOP_5760x1416_202506101734.mov' failed',
pixera_logs,,rx_log-2.txt,Thu 09.Oct. ,20:08:16.363,error,210x similar to 'loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP1_TERA_IN_5760x1416_202506101734.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP1_TERA_IN_5760x1416_202506101734.mov' failed',
pixera_logs,,rx_log-2.txt,Thu 09.Oct. ,20:09:16.423,error,3330x similar to 'loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP2_TERA_IN_5760x1416_202506101734.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP2_TERA_IN_5760x1416_202506101734.mov' failed',
pixera_logs,,rx_log-2.txt,Thu 09.Oct. ,20:09:16.423,error,3588x similar to 'loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP1_TERA_LOOP_5760x1416_202506101734.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP1_TERA_LOOP_5760x1416_202506101734.mov' failed',
pixera_logs,,rx_log-2.txt,Thu 09.Oct. ,20:13:16.655,error,12x similar to 'loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP2_TERA_IN_5760x1416_202506101734.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP2_TERA_IN_5760x1416_202506101734.mov' failed',
pixera_logs,,rx_log-2.txt,Thu 09.Oct. ,20:14:16.713,error,3576x similar to 'loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP4_TERA_IN_5760x1416_202506101734.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP4_TERA_IN_5760x1416_202506101734.mov' failed',
pixera_logs,,rx_log-2.txt,Thu 09.Oct. ,20:14:16.713,error,7176x similar to 'loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP1_TERA_LOOP_5760x1416_202506101734.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP1_TERA_LOOP_5760x1416_202506101734.mov' failed',
pixera_logs,,rx_log-2.txt,Thu 09.Oct. ,20:19:17.013,error,504x similar to 'loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP1_TERA_IN_5760x1416_202506101734.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP1_TERA_IN_5760x1416_202506101734.mov' failed',
pixera_logs,,rx_log-2.txt,Thu 09.Oct. ,20:19:35.508,error,3084x similar to 'loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP2_TERA_IN_5760x1416_202506101734.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP2_TERA_IN_5760x1416_202506101734.mov' failed',
pixera_logs,,rx_log-2.txt,Thu 09.Oct. ,20:20:17.068,error,3534x similar to 'loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP1_TERA_LOOP_5760x1416_202506101734.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP1_TERA_LOOP_5760x1416_202506101734.mov' failed',
pixera_logs,,rx_log-2.txt,Thu 09.Oct. ,20:24:17.291,error,5952x similar to 'loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP1_TERA_LOOP_5760x1416_202506101734.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP1_TERA_LOOP_5760x1416_202506101734.mov' failed',
pixera_logs,,rx_log-2.txt,Thu 09.Oct. ,20:25:17.354,error,1182x similar to 'loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP5_TERA_LOOP_5760x1416_202506101734.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP5_TERA_LOOP_5760x1416_202506101734.mov' failed',
pixera_logs,,rx_log-2.txt,Thu 09.Oct. ,20:53:45.596,error,loading '<?>\\192.168.205.2\smb01\cms-media\GH_DP6_TERA_IN_5476x1416_202506101734.mov' failed: opening file '\\192.168.205.2\smb01\cms-media\GH_DP6_TERA_IN_5476x1416_202506101734.mov' failed,
